solver,bench,solution,runtime,confl,props,vprops,vivsucc
sticky,modgen-n200-m90860q08c40-9056.cnf,10,802.05,6542671,1515839690,0,0
sticky,mp1-21.0.cnf,10,125.16,2941272,350957596,0,0
sticky,mp1-21.1.cnf,10,264.84,5361583,650129702,0,0
sticky,mp1-21.2.cnf,10,61.29,1598344,190107486,0,0
sticky,mp1-21.3.cnf,10,126.99,2975499,358366709,0,0
sticky,mp1-21.4.cnf,10,349.44,6633601,808179193,0,0
sticky,mp1-21.5.cnf,10,114.3,2724479,328284299,0,0
sticky,mp1-21.6.cnf,10,340.08,6518955,793419494,0,0
sticky,mp1-21.7.cnf,10,444.48,7934756,972990608,0,0
sticky,mp1-21.8.cnf,10,430.98,7737406,947773957,0,0
sticky,mp1-21.9.cnf,10,123.42,2899497,348355549,0,0
sticky,mp1-22.3.cnf,10,5892.72,59579674,7414827008,0,0
sticky,mp1-22.9.cnf,10,10362.27,89039452,11134116044,0,0
sticky,mp1-9_1.cnf,10,472.29,6671219,467928140,0,0
sticky,mp1-9_11.cnf,10,3.99,146138,8994440,0,0
sticky,mp1-9_12.cnf,10,2159.73,20250902,1354410205,0,0
sticky,mp1-9_14.cnf,10,226.71,4414922,281743267,0,0
sticky,mp1-9_19.cnf,10,11673,70610962,4817155174,0,0
sticky,mp1-9_22.cnf,10,13521,71936718,5032845880,0,0
sticky,mp1-9_27.cnf,10,55.26,1471980,93514224,0,0
